"disease","district","region","epiweek","cas","dec"
"Choléra","Michemire","Barh-Elgazal","2017-27","2",""
"Choléra","Bol","Lac","2017-27","",""
"Choléra","Bagassoula","Lac","2017-27","24","1"
"Choléra","Ngouri","Lac","2017-27","21",""
"Choléra","Kouloudia","Lac","2017-27","",""
"Choléra","Liwa","Lac","2017-27","4","1"
"Choléra","Isseirom","Lac","2017-27","2","1"
"Choléra","Moundou","Logone Occidental","2017-27","1",""
"Choléra","Laokassy","Logone Occidental","2017-27","35","1"
"Choléra","Benoye","Logone Occidental","2017-27","",""
"Choléra","Doba","Logone Oriental","2017-27","",""
"Choléra","Bodo","Logone Oriental","2017-27","1",""
"Choléra","Bebeto","Logone Oriental","2017-27","",""
"Choléra","Bébédja","Logone Oriental","2017-27","9",""
"Choléra","Gore","Logone Oriental","2017-27","8","1"
"Choléra","Béssao","Logone Oriental","2017-27","",""
"Choléra","Larmanaye","Logone Oriental","2017-27","","2"
"Choléra","Koumra","Mandoul","2017-27","7",""
"Choléra","Goundi","Mandoul","2017-27","",""
"Choléra","Moissala","Mandoul","2017-27","11","1"
"Choléra","Bedjondo","Mandoul","2017-27","",""
"Choléra","Bouna","Mandoul","2017-27","2","2"
"Choléra","Bongor","Mayo-Kebbi-Est","2017-27","","1"
"Choléra","Gounou Gaya","Mayo-Kebbi-Est","2017-27","1",""
"Choléra","Guelendeng","Mayo-Kebbi-Est","2017-27","27","1"
"Choléra","Fianga","Mayo-Kebbi-Est","2017-27","",""
"Choléra","Pont Carol","Mayo-Kebbi-Est","2017-27","23",""
"Choléra","Moulkou","Mayo-Kebbi-Est","2017-27","4",""
"Choléra","Youe","Mayo-Kebbi-Est","2017-27","6","2"
"Choléra","Pala","Mayo-Kebbi-Ouest","2017-27","","2"
"Choléra","Lere","Mayo-Kebbi-Ouest","2017-27","12","1"
"Choléra","Gagal","Mayo-Kebbi-Ouest","2017-27","6",""
"Choléra","Torrock","Mayo-Kebbi-Ouest","2017-27","4","1"
"Choléra","Lagon","Mayo-Kebbi-Ouest","2017-27","","2"
"Choléra","Binder","Mayo-Kebbi-Ouest","2017-27","","1"
"Choléra","Lame","Mayo-Kebbi-Ouest","2017-27","1",""
"Choléra","Sarh","Moyen-Chari","2017-27","12","2"
"Choléra","Danamadji","Moyen-Chari","2017-27","16","1"
"Choléra","Kyabe","Moyen-Chari","2017-27","4",""
"Choléra","Biobé Singako","Moyen-Chari","2017-27","",""
"Choléra","Ndjamena-Nord","Ndjamena","2017-27","",""
"Choléra","Ndjamena-Centre","Ndjamena","2017-27","17","1"
"Choléra","Ndjamena-Sud","Ndjamena","2017-27","1",""
"Choléra","Ndjamena-Est","Ndjamena","2017-27","32",""
"Choléra","Faya","Borkou","2017-27","",""
"Choléra","Kirdimi","Borkou","2017-27","3",""
"Choléra","Abeche","Ouaddai","2017-27","8",""
"Choléra","Abdi","Ouaddai","2017-27","",""
"Choléra","Adre","Ouaddai","2017-27","",""
"Choléra","Abougoudam","Ouaddai","2017-27","11",""
"Choléra","Gozbeida","Sila","2017-27","",""
"Choléra","Amdam","Sila","2017-27","9","1"
"Choléra","Tissi","Sila","2017-27","",""
"Choléra","Koukou Angarana","Sila","2017-27","",""
"Choléra","Amtiman","Salamat","2017-27","",""
"Choléra","Aboudeia","Salamat","2017-27","7",""
"Choléra","Haraze Mangueigne","Salamat","2017-27","",""
"Choléra","Lai","Tandjile","2017-27","32",""
"Choléra","Dono Manga","Tandjile","2017-27","15",""
"Choléra","Kelo","Tandjile","2017-27","",""
"Choléra","Bere","Tandjile","2017-27","5","1"
"Choléra","Daffra","Tandjile","2017-27","",""
"Choléra","Biltine","Wadi Fira","2017-27","5","2"
"Choléra","Guereda","Wadi Fira","2017-27","",""
"Choléra","Iriba","Wadi Fira","2017-27","9","1"
"Choléra","Matadjana","Wadi Fira","2017-27","26",""
"Malnutrition Sévère","Ati","Batha","2017-27","6",""
"Malnutrition Sévère","Oum Hadjer","Batha","2017-27","","1"
"Malnutrition Sévère","Alifat","Batha","2017-27","",""
"Malnutrition Sévère","Assinet","Batha","2017-27","8","1"
"Malnutrition Sévère","Yao","Batha","2017-27","2",""
"Malnutrition Sévère","Amdjarasse","Ennedi Est","2017-27","1",""
"Malnutrition Sévère","Bahaï","Ennedi Est","2017-27","23",""
"Malnutrition Sévère","Kawra","Ennedi Est","2017-27","10",""
"Malnutrition Sévère","Fada","Ennedi Ouest","2017-27","",""
"Malnutrition Sévère","Kalaït","Ennedi Ouest","2017-27","7",""
"Malnutrition Sévère","Massenya","Chari-Baguirmi","2017-27","49",""
"Malnutrition Sévère","Dourbali","Chari-Baguirmi","2017-27","1",""
"Malnutrition Sévère","Mandalia","Chari-Baguirmi","2017-27","",""
"Malnutrition Sévère","Bousso","Chari-Baguirmi","2017-27","16",""
"Malnutrition Sévère","Ba Illi","Chari-Baguirmi","2017-27","30",""
"Malnutrition Sévère","Kouno","Chari-Baguirmi","2017-27","","1"
"Malnutrition Sévère","Mongo","Guera","2017-27","1",""
"Malnutrition Sévère","Bitkine","Guera","2017-27","13",""
"Malnutrition Sévère","Melfi","Guera","2017-27","","1"
"Malnutrition Sévère","Mangalme","Guera","2017-27","",""
"Malnutrition Sévère","Massakory","Hadjer Lamis","2017-27","2",""
"Malnutrition Sévère","Bokoro","Hadjer Lamis","2017-27","",""
"Malnutrition Sévère","Massaguet","Hadjer Lamis","2017-27","",""
"Malnutrition Sévère","Mani","Hadjer Lamis","2017-27","3",""
"Malnutrition Sévère","Mao","Kanem","2017-27","7",""
"Malnutrition Sévère","Nokou","Kanem","2017-27","18",""
"Malnutrition Sévère","Rig Rig","Kanem","2017-27","5","1"
"Malnutrition Sévère","Mondo","Kanem","2017-27","1",""
"Malnutrition Sévère","Moussoro","Barh-Elgazal","2017-27","17","1"
"Malnutrition Sévère","Chaddra","Barh-Elgazal","2017-27","5","1"
"Malnutrition Sévère","Salal","Barh-Elgazal","2017-27","13",""
"Malnutrition Sévère","Michemire","Barh-Elgazal","2017-27","",""
"Malnutrition Sévère","Bol","Lac","2017-27","","1"
"Malnutrition Sévère","Bagassoula","Lac","2017-27","2",""
"Malnutrition Sévère","Ngouri","Lac","2017-27","6",""
"Malnutrition Sévère","Kouloudia","Lac","2017-27","1",""
"Malnutrition Sévère","Liwa","Lac","2017-27","9",""
"Malnutrition Sévère","Isseirom","Lac","2017-27","",""
"Malnutrition Sévère","Moundou","Logone Occidental","2017-27","",""
"Malnutrition Sévère","Laokassy","Logone Occidental","2017-27","3",""
"Malnutrition Sévère","Benoye","Logone Occidental","2017-27","15",""
"Malnutrition Sévère","Doba","Logone Oriental","2017-27","","1"
"Malnutrition Sévère","Bodo","Logone Oriental","2017-27","11","2"
"Malnutrition Sévère","Bebeto","Logone Oriental","2017-27","4",""
"Malnutrition Sévère","Bébédja","Logone Oriental","2017-27","4",""
"Malnutrition Sévère","Gore","Logone Oriental","2017-27","1",""
"Malnutrition Sévère","Béssao","Logone Oriental","2017-27","8",""
"Malnutrition Sévère","Larmanaye","Logone Oriental","2017-27","8",""
"Malnutrition Sévère","Koumra","Mandoul","2017-27","5",""
"Malnutrition Sévère","Goundi","Mandoul","2017-27","",""
"Malnutrition Sévère","Moissala","Mandoul","2017-27","4",""
"Malnutrition Sévère","Bedjondo","Mandoul","2017-27","",""
"Malnutrition Sévère","Bouna","Mandoul","2017-27","16",""
"Malnutrition Sévère","Bongor","Mayo-Kebbi-Est","2017-27","6",""
"Malnutrition Sévère","Gounou Gaya","Mayo-Kebbi-Est","2017-27","1","1"
"Malnutrition Sévère","Guelendeng","Mayo-Kebbi-Est","2017-27","","2"
"Malnutrition Sévère","Fianga","Mayo-Kebbi-Est","2017-27","4","1"
"Malnutrition Sévère","Pont Carol","Mayo-Kebbi-Est","2017-27","",""
"Malnutrition Sévère","Moulkou","Mayo-Kebbi-Est","2017-27","6","1"
"Malnutrition Sévère","Youe","Mayo-Kebbi-Est","2017-27","","1"
"Malnutrition Sévère","Pala","Mayo-Kebbi-Ouest","2017-27","",""
"Malnutrition Sévère","Lere","Mayo-Kebbi-Ouest","2017-27","4",""
"Malnutrition Sévère","Gagal","Mayo-Kebbi-Ouest","2017-27","","1"
"Malnutrition Sévère","Torrock","Mayo-Kebbi-Ouest","2017-27","1","1"
"Malnutrition Sévère","Lagon","Mayo-Kebbi-Ouest","2017-27","1",""
"Malnutrition Sévère","Binder","Mayo-Kebbi-Ouest","2017-27","",""
"Malnutrition Sévère","Lame","Mayo-Kebbi-Ouest","2017-27","",""
"Malnutrition Sévère","Sarh","Moyen-Chari","2017-27","4",""
"Malnutrition Sévère","Danamadji","Moyen-Chari","2017-27","2",""
"Malnutrition Sévère","Kyabe","Moyen-Chari","2017-27","",""
"Malnutrition Sévère","Biobé Singako","Moyen-Chari","2017-27","1",""
"Malnutrition Sévère","Ndjamena-Nord","Ndjamena","2017-27","",""
"Malnutrition Sévère","Ndjamena-Centre","Ndjamena","2017-27","4","2"
"Malnutrition Sévère","Ndjamena-Sud","Ndjamena","2017-27","13","1"
"Malnutrition Sévère","Ndjamena-Est","Ndjamena","2017-27","","1"
"Malnutrition Sévère","Faya","Borkou","2017-27","4",""
"Malnutrition Sévère","Kirdimi","Borkou","2017-27","51","1"
"Malnutrition Sévère","Abeche","Ouaddai","2017-27","3",""
"Malnutrition Sévère","Abdi","Ouaddai","2017-27","",""
"Malnutrition Sévère","Adre","Ouaddai","2017-27","5",""
"Malnutrition Sévère","Abougoudam","Ouaddai","2017-27","18",""
"Malnutrition Sévère","Gozbeida","Sila","2017-27","5","2"
"Malnutrition Sévère","Amdam","Sila","2017-27","","1"
"Malnutrition Sévère","Tissi","Sila","2017-27","2",""
"Malnutrition Sévère","Koukou Angarana","Sila","2017-27","30","1"
"Malnutrition Sévère","Amtiman","Salamat","2017-27","2",""
"Malnutrition Sévère","Aboudeia","Salamat","2017-27","31","1"
"Malnutrition Sévère","Haraze Mangueigne","Salamat","2017-27","4",""
"Malnutrition Sévère","Lai","Tandjile","2017-27","2","1"
"Malnutrition Sévère","Dono Manga","Tandjile","2017-27","6","1"
"Malnutrition Sévère","Kelo","Tandjile","2017-27","7",""
"Malnutrition Sévère","Bere","Tandjile","2017-27","2",""
"Malnutrition Sévère","Daffra","Tandjile","2017-27","",""
"Malnutrition Sévère","Biltine","Wadi Fira","2017-27","3","2"
"Malnutrition Sévère","Guereda","Wadi Fira","2017-27","20",""
"Malnutrition Sévère","Iriba","Wadi Fira","2017-27","",""
"Malnutrition Sévère","Matadjana","Wadi Fira","2017-27","",""
"Malnutrition Modérée","Ati","Batha","2017-27","17","2"
"Malnutrition Modérée","Oum Hadjer","Batha","2017-27","4",""
"Malnutrition Modérée","Alifat","Batha","2017-27","","2"
"Malnutrition Modérée","Assinet","Batha","2017-27","",""
"Malnutrition Modérée","Yao","Batha","2017-27","1",""
"Malnutrition Modérée","Amdjarasse","Ennedi Est","2017-27","",""
"Malnutrition Modérée","Bahaï","Ennedi Est","2017-27","12","2"
"Malnutrition Modérée","Kawra","Ennedi Est","2017-27","","1"
"Malnutrition Modérée","Fada","Ennedi Ouest","2017-27","10",""
"Malnutrition Modérée","Kalaït","Ennedi Ouest","2017-27","","1"
"Malnutrition Modérée","Massenya","Chari-Baguirmi","2017-27","","2"
"Malnutrition Modérée","Dourbali","Chari-Baguirmi","2017-27","21","1"
"Malnutrition Modérée","Mandalia","Chari-Baguirmi","2017-27","13",""
"Malnutrition Modérée","Bousso","Chari-Baguirmi","2017-27","",""
"Malnutrition Modérée","Ba Illi","Chari-Baguirmi","2017-27","7",""
"Malnutrition Modérée","Kouno","Chari-Baguirmi","2017-27","",""
"Malnutrition Modérée","Mongo","Guera","2017-27","",""
"Malnutrition Modérée","Bitkine","Guera","2017-27","","1"
"Malnutrition Modérée","Melfi","Guera","2017-27","2","2"
"Malnutrition Modérée","Mangalme","Guera","2017-27","11",""
"Malnutrition Modérée","Massakory","Hadjer Lamis","2017-27","7",""
"Malnutrition Modérée","Bokoro","Hadjer Lamis","2017-27","","1"
"Malnutrition Modérée","Massaguet","Hadjer Lamis","2017-27","7",""
"Malnutrition Modérée","Mani","Hadjer Lamis","2017-27","3",""
"Malnutrition Modérée","Mao","Kanem","2017-27","2",""
"Malnutrition Modérée","Nokou","Kanem","2017-27","",""
"Malnutrition Modérée","Rig Rig","Kanem","2017-27","1",""
"Malnutrition Modérée","Mondo","Kanem","2017-27","","2"
"Malnutrition Modérée","Moussoro","Barh-Elgazal","2017-27","1",""
"Malnutrition Modérée","Chaddra","Barh-Elgazal","2017-27","",""
"Malnutrition Modérée","Salal","Barh-Elgazal","2017-27","5",""
"Malnutrition Modérée","Michemire","Barh-Elgazal","2017-27","",""
"Malnutrition Modérée","Bol","Lac","2017-27","49",""
"Malnutrition Modérée","Bagassoula","Lac","2017-27","8",""
"Malnutrition Modérée","Ngouri","Lac","2017-27","5","1"
"Malnutrition Modérée","Kouloudia","Lac","2017-27","","2"
"Malnutrition Modérée","Liwa","Lac","2017-27","",""
"Malnutrition Modérée","Isseirom","Lac","2017-27","11",""
"Malnutrition Modérée","Moundou","Logone Occidental","2017-27","1",""
"Malnutrition Modérée","Laokassy","Logone Occidental","2017-27","4",""
"Malnutrition Modérée","Benoye","Logone Occidental","2017-27","","2"
"Malnutrition Modérée","Doba","Logone Oriental","2017-27","","1"
"Malnutrition Modérée","Bodo","Logone Oriental","2017-27","15",""
"Malnutrition Modérée","Bebeto","Logone Oriental","2017-27","11",""
"Malnutrition Modérée","Bébédja","Logone Oriental","2017-27","20",""
"Malnutrition Modérée","Gore","Logone Oriental","2017-27","20",""
"Malnutrition Modérée","Béssao","Logone Oriental","2017-27","",""
"Malnutrition Modérée","Larmanaye","Logone Oriental","2017-27","","1"
"Malnutrition Modérée","Koumra","Mandoul","2017-27","7",""
"Malnutrition Modérée","Goundi","Mandoul","2017-27","1","1"
"Malnutrition Modérée","Moissala","Mandoul","2017-27","",""
"Malnutrition Modérée","Bedjondo","Mandoul","2017-27","3",""
"Malnutrition Modérée","Bouna","Mandoul","2017-27","","1"
"Malnutrition Modérée","Bongor","Mayo-Kebbi-Est","2017-27","",""
"Malnutrition Modérée","Gounou Gaya","Mayo-Kebbi-Est","2017-27","",""
"Malnutrition Modérée","Guelendeng","Mayo-Kebbi-Est","2017-27","3","1"
"Malnutrition Modérée","Fianga","Mayo-Kebbi-Est","2017-27","6",""
"Malnutrition Modérée","Pont Carol","Mayo-Kebbi-Est","2017-27","","2"
"Malnutrition Modérée","Moulkou","Mayo-Kebbi-Est","2017-27","22",""
"Malnutrition Modérée","Youe","Mayo-Kebbi-Est","2017-27","24",""
"Malnutrition Modérée","Pala","Mayo-Kebbi-Ouest","2017-27","",""
"Malnutrition Modérée","Lere","Mayo-Kebbi-Ouest","2017-27","17","1"
"Malnutrition Modérée","Gagal","Mayo-Kebbi-Ouest","2017-27","2",""
"Malnutrition Modérée","Torrock","Mayo-Kebbi-Ouest","2017-27","4","1"
"Malnutrition Modérée","Lagon","Mayo-Kebbi-Ouest","2017-27","",""
"Malnutrition Modérée","Binder","Mayo-Kebbi-Ouest","2017-27","2",""
"Malnutrition Modérée","Lame","Mayo-Kebbi-Ouest","2017-27","3","2"
"Malnutrition Modérée","Sarh","Moyen-Chari","2017-27","12",""
"Malnutrition Modérée","Danamadji","Moyen-Chari","2017-27","","1"
"Malnutrition Modérée","Kyabe","Moyen-Chari","2017-27","",""
"Malnutrition Modérée","Biobé Singako","Moyen-Chari","2017-27","2",""
"Malnutrition Modérée","Ndjamena-Nord","Ndjamena","2017-27","",""
"Malnutrition Modérée","Ndjamena-Centre","Ndjamena","2017-27","2",""
"Malnutrition Modérée","Ndjamena-Sud","Ndjamena","2017-27","",""
"Malnutrition Modérée","Ndjamena-Est","Ndjamena","2017-27","",""
"Malnutrition Modérée","Faya","Borkou","2017-27","",""
"Malnutrition Modérée","Kirdimi","Borkou","2017-27","",""
"Malnutrition Modérée","Abeche","Ouaddai","2017-27","",""
"Malnutrition Modérée","Abdi","Ouaddai","2017-27","",""
"Malnutrition Modérée","Adre","Ouaddai","2017-27","1",""
"Malnutrition Modérée","Abougoudam","Ouaddai","2017-27","1",""
"Malnutrition Modérée","Gozbeida","Sila","2017-27","9","1"
"Malnutrition Modérée","Amdam","Sila","2017-27","20",""
"Malnutrition Modérée","Tissi","Sila","2017-27","",""
"Malnutrition Modérée","Koukou Angarana","Sila","2017-27","2",""
"Malnutrition Modérée","Amtiman","Salamat","2017-27","9","1"
"Malnutrition Modérée","Aboudeia","Salamat","2017-27","",""
"Malnutrition Modérée","Haraze Mangueigne","Salamat","2017-27","8",""
"Malnutrition Modérée","Lai","Tandjile","2017-27","",""
"Malnutrition Modérée","Dono Manga","Tandjile","2017-27","",""
"Malnutrition Modérée","Kelo","Tandjile","2017-27","",""
"Malnutrition Modérée","Bere","Tandjile","2017-27","24",""
"Malnutrition Modérée","Daffra","Tandjile","2017-27","",""
"Malnutrition Modérée","Biltine","Wadi Fira","2017-27","10",""
"Malnutrition Modérée","Guereda","Wadi Fira","2017-27","1",""
"Malnutrition Modérée","Iriba","Wadi Fira","2017-27","3","1"
"Malnutrition Modérée","Matadjana","Wadi Fira","2017-27","8","1"
"Piqure de Scorpion","Ati","Batha","2017-28","","1"
"Piqure de Scorpion","Oum Hadjer","Batha","2017-28","",""
"Piqure de Scorpion","Alifat","Batha","2017-28","","1"
"Piqure de Scorpion","Assinet","Batha","2017-28","1",""
"Piqure de Scorpion","Yao","Batha","2017-28","",""
"Piqure de Scorpion","Amdjarasse","Ennedi Est","2017-28","7",""
"Piqure de Scorpion","Bahaï","Ennedi Est","2017-28","6",""
"Piqure de Scorpion","Kawra","Ennedi Est","2017-28","",""
"Piqure de Scorpion","Fada","Ennedi Ouest","2017-28","2",""
"Piqure de Scorpion","Kalaït","Ennedi Ouest","2017-28","",""
"Piqure de Scorpion","Massenya","Chari-Baguirmi","2017-28","9",""
"Piqure de Scorpion","Dourbali","Chari-Baguirmi","2017-28","7",""
"Piqure de Scorpion","Mandalia","Chari-Baguirmi","2017-28","6",""
"Piqure de Scorpion","Bousso","Chari-Baguirmi","2017-28","",""
"Piqure de Scorpion","Ba Illi","Chari-Baguirmi","2017-28","2",""
"Piqure de Scorpion","Kouno","Chari-Baguirmi","2017-28","13",""
"Piqure de Scorpion","Mongo","Guera","2017-28","2",""
"Piqure de Scorpion","Bitkine","Guera","2017-28","",""
"Piqure de Scorpion","Melfi","Guera","2017-28","1",""
"Piqure de Scorpion","Mangalme","Guera","2017-28","7",""
"Piqure de Scorpion","Massakory","Hadjer Lamis","2017-28","",""
"Piqure de Scorpion","Bokoro","Hadjer Lamis","2017-28","19",""
"Piqure de Scorpion","Massaguet","Hadjer Lamis","2017-28","23",""
"Piqure de Scorpion","Mani","Hadjer Lamis","2017-28","3",""
"Piqure de Scorpion","Bardai","Tibesti","2017-28","14",""
"Piqure de Scorpion","Zouar","Tibesti","2017-28","15",""
"Piqure de Scorpion","Mao","Kanem","2017-28","41",""
"Piqure de Scorpion","Nokou","Kanem","2017-28","10","2"
"Piqure de Scorpion","Rig Rig","Kanem","2017-28","2","2"
"Piqure de Scorpion","Mondo","Kanem","2017-28","","1"
"Piqure de Scorpion","Moussoro","Barh-Elgazal","2017-28","5","2"
"Piqure de Scorpion","Chaddra","Barh-Elgazal","2017-28","",""
"Piqure de Scorpion","Salal","Barh-Elgazal","2017-28","",""
"Piqure de Scorpion","Michemire","Barh-Elgazal","2017-28","1",""
"Piqure de Scorpion","Bol","Lac","2017-28","11",""
"Piqure de Scorpion","Bagassoula","Lac","2017-28","",""
"Piqure de Scorpion","Ngouri","Lac","2017-28","",""
"Piqure de Scorpion","Kouloudia","Lac","2017-28","","1"
"Piqure de Scorpion","Liwa","Lac","2017-28","3",""
"Piqure de Scorpion","Isseirom","Lac","2017-28","16",""
"Piqure de Scorpion","Moundou","Logone Occidental","2017-28","2",""
"Piqure de Scorpion","Laokassy","Logone Occidental","2017-28","7",""
"Piqure de Scorpion","Benoye","Logone Occidental","2017-28","",""
"Piqure de Scorpion","Doba","Logone Oriental","2017-28","3","1"
"Piqure de Scorpion","Bodo","Logone Oriental","2017-28","10",""
"Piqure de Scorpion","Bebeto","Logone Oriental","2017-28","1",""
"Piqure de Scorpion","Bébédja","Logone Oriental","2017-28","3","2"
"Piqure de Scorpion","Gore","Logone Oriental","2017-28","2","1"
"Piqure de Scorpion","Béssao","Logone Oriental","2017-28","25","1"
"Piqure de Scorpion","Larmanaye","Logone Oriental","2017-28","23",""
"Piqure de Scorpion","Koumra","Mandoul","2017-28","5","2"
"Piqure de Scorpion","Goundi","Mandoul","2017-28","35",""
"Piqure de Scorpion","Moissala","Mandoul","2017-28","1",""
"Piqure de Scorpion","Bedjondo","Mandoul","2017-28","3",""
"Piqure de Scorpion","Bouna","Mandoul","2017-28","",""
"Piqure de Scorpion","Bongor","Mayo-Kebbi-Est","2017-28","","1"
"Piqure de Scorpion","Gounou Gaya","Mayo-Kebbi-Est","2017-28","",""
"Piqure de Scorpion","Guelendeng","Mayo-Kebbi-Est","2017-28","41","1"
"Piqure de Scorpion","Fianga","Mayo-Kebbi-Est","2017-28","",""
"Piqure de Scorpion","Pont Carol","Mayo-Kebbi-Est","2017-28","5","1"
"Piqure de Scorpion","Moulkou","Mayo-Kebbi-Est","2017-28","1",""
"Piqure de Scorpion","Youe","Mayo-Kebbi-Est","2017-28","18",""
"Piqure de Scorpion","Pala","Mayo-Kebbi-Ouest","2017-28","4",""
"Piqure de Scorpion","Lere","Mayo-Kebbi-Ouest","2017-28","20",""
"Piqure de Scorpion","Gagal","Mayo-Kebbi-Ouest","2017-28","51",""
"Piqure de Scorpion","Torrock","Mayo-Kebbi-Ouest","2017-28","1","2"
"Piqure de Scorpion","Lagon","Mayo-Kebbi-Ouest","2017-28","3",""
"Piqure de Scorpion","Binder","Mayo-Kebbi-Ouest","2017-28","19",""
"Piqure de Scorpion","Lame","Mayo-Kebbi-Ouest","2017-28","1",""
"Piqure de Scorpion","Sarh","Moyen-Chari","2017-28","",""
"Piqure de Scorpion","Danamadji","Moyen-Chari","2017-28","6",""
"Piqure de Scorpion","Kyabe","Moyen-Chari","2017-28","10",""
"Piqure de Scorpion","Biobé Singako","Moyen-Chari","2017-28","",""
"Piqure de Scorpion","Ndjamena-Nord","Ndjamena","2017-28","","1"
"Piqure de Scorpion","Ndjamena-Centre","Ndjamena","2017-28","10",""
"Piqure de Scorpion","Ndjamena-Sud","Ndjamena","2017-28","5",""
"Piqure de Scorpion","Ndjamena-Est","Ndjamena","2017-28","2","2"
"Piqure de Scorpion","Faya","Borkou","2017-28","1",""
"Piqure de Scorpion","Kirdimi","Borkou","2017-28","",""
"Piqure de Scorpion","Abeche","Ouaddai","2017-28","","2"
"Piqure de Scorpion","Abdi","Ouaddai","2017-28","","1"
"Piqure de Scorpion","Adre","Ouaddai","2017-28","2",""
"Piqure de Scorpion","Abougoudam","Ouaddai","2017-28","3","1"
"Piqure de Scorpion","Gozbeida","Sila","2017-28","","1"
"Piqure de Scorpion","Amdam","Sila","2017-28","",""
"Piqure de Scorpion","Tissi","Sila","2017-28","",""
"Piqure de Scorpion","Koukou Angarana","Sila","2017-28","1",""
"Piqure de Scorpion","Amtiman","Salamat","2017-28","11","2"
"Piqure de Scorpion","Aboudeia","Salamat","2017-28","",""
"Piqure de Scorpion","Haraze Mangueigne","Salamat","2017-28","2",""
"Piqure de Scorpion","Lai","Tandjile","2017-28","",""
"Piqure de Scorpion","Dono Manga","Tandjile","2017-28","","2"
"Piqure de Scorpion","Kelo","Tandjile","2017-28","14",""
"Piqure de Scorpion","Bere","Tandjile","2017-28","",""
"Piqure de Scorpion","Daffra","Tandjile","2017-28","1",""
"Piqure de Scorpion","Biltine","Wadi Fira","2017-28","",""
"Piqure de Scorpion","Guereda","Wadi Fira","2017-28","24",""
"Piqure de Scorpion","Iriba","Wadi Fira","2017-28","17",""
"Piqure de Scorpion","Matadjana","Wadi Fira","2017-28","1",""
"Suspicion de Paludisme","Ati","Batha","2017-28","","1"
"Suspicion de Paludisme","Oum Hadjer","Batha","2017-28","",""
"Suspicion de Paludisme","Alifat","Batha","2017-28","","1"
"Suspicion de Paludisme","Assinet","Batha","2017-28","",""
"Suspicion de Paludisme","Yao","Batha","2017-28","4",""
"Suspicion de Paludisme","Amdjarasse","Ennedi Est","2017-28","3",""
"Suspicion de Paludisme","Bahaï","Ennedi Est","2017-28","","1"
"Suspicion de Paludisme","Kawra","Ennedi Est","2017-28","1","2"
"Suspicion de Paludisme","Fada","Ennedi Ouest","2017-28","",""
"Suspicion de Paludisme","Kalaït","Ennedi Ouest","2017-28","",""
"Suspicion de Paludisme","Massenya","Chari-Baguirmi","2017-28","",""
"Suspicion de Paludisme","Dourbali","Chari-Baguirmi","2017-28","","1"
"Suspicion de Paludisme","Mandalia","Chari-Baguirmi","2017-28","1",""
"Suspicion de Paludisme","Bousso","Chari-Baguirmi","2017-28","",""
"Suspicion de Paludisme","Ba Illi","Chari-Baguirmi","2017-28","",""
"Suspicion de Paludisme","Kouno","Chari-Baguirmi","2017-28","7",""
"Suspicion de Paludisme","Mongo","Guera","2017-28","4","1"
"Suspicion de Paludisme","Bitkine","Guera","2017-28","1","1"
"Suspicion de Paludisme","Melfi","Guera","2017-28","1",""
"Suspicion de Paludisme","Mangalme","Guera","2017-28","",""
"Suspicion de Paludisme","Massakory","Hadjer Lamis","2017-28","1",""
"Suspicion de Paludisme","Bokoro","Hadjer Lamis","2017-28","",""
"Suspicion de Paludisme","Massaguet","Hadjer Lamis","2017-28","",""
"Suspicion de Paludisme","Mani","Hadjer Lamis","2017-28","",""
"Suspicion de Paludisme","Bardai","Tibesti","2017-28","2",""
"Suspicion de Paludisme","Zouar","Tibesti","2017-28","","1"
"Suspicion de Paludisme","Mao","Kanem","2017-28","3",""
"Suspicion de Paludisme","Nokou","Kanem","2017-28","13",""
"Suspicion de Paludisme","Rig Rig","Kanem","2017-28","2",""
"Suspicion de Paludisme","Mondo","Kanem","2017-28","5",""
"Suspicion de Paludisme","Moussoro","Barh-Elgazal","2017-28","",""
"Suspicion de Paludisme","Chaddra","Barh-Elgazal","2017-28","","1"
"Suspicion de Paludisme","Salal","Barh-Elgazal","2017-28","19",""
"Suspicion de Paludisme","Michemire","Barh-Elgazal","2017-28","",""
"Suspicion de Paludisme","Bol","Lac","2017-28","9",""
"Suspicion de Paludisme","Bagassoula","Lac","2017-28","",""
"Suspicion de Paludisme","Ngouri","Lac","2017-28","3","1"
"Suspicion de Paludisme","Kouloudia","Lac","2017-28","1","1"
"Suspicion de Paludisme","Liwa","Lac","2017-28","",""
"Suspicion de Paludisme","Isseirom","Lac","2017-28","","1"
"Suspicion de Paludisme","Moundou","Logone Occidental","2017-28","",""
"Suspicion de Paludisme","Laokassy","Logone Occidental","2017-28","2",""
"Suspicion de Paludisme","Benoye","Logone Occidental","2017-28","",""
"Suspicion de Paludisme","Doba","Logone Oriental","2017-28","1","1"
"Suspicion de Paludisme","Bodo","Logone Oriental","2017-28","",""
"Suspicion de Paludisme","Bebeto","Logone Oriental","2017-28","",""
"Suspicion de Paludisme","Bébédja","Logone Oriental","2017-28","1",""
"Suspicion de Paludisme","Gore","Logone Oriental","2017-28","",""
"Suspicion de Paludisme","Béssao","Logone Oriental","2017-28","8",""
"Suspicion de Paludisme","Larmanaye","Logone Oriental","2017-28","12",""
"Suspicion de Paludisme","Koumra","Mandoul","2017-28","20","2"
"Suspicion de Paludisme","Goundi","Mandoul","2017-28","2","2"
"Suspicion de Paludisme","Moissala","Mandoul","2017-28","2",""
"Suspicion de Paludisme","Bedjondo","Mandoul","2017-28","","1"
